departamentocodigo,Departamento,municipiocodigo,Municipio,Nombre_comercial,bandera,Direccion,producto,precio,estado,fecharegistro,periodo,mes,Dir2,Full_Address,Coords
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SERVICENTRO ESSO EL SOCIEGO,MOBIL,Carrera 10 No. 27-05 Sur,BIOACEM AL 9%,8450,1,2018-05-02,2018,5,Carrera 10 No. 27-05 Sur,"Carrera 10 No. 27-05 Sur, Bogota d.c., Colombia","(4.61433, -74.06978)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO PETROBRAS IBERIA,PETROBRAS,AVENIDA CALLE 134 No. 53-51,BIOACEM AL 9%,7929,1,2018-05-11,2018,5,AVENIDA CALLE 134 No. 53-51,"AVENIDA CALLE 134 No. 53-51, Bogota d.c., Colombia","(4.72004, -74.0588)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO PETROBRAS IBERIA,PETROBRAS,AVENIDA CALLE 134 No. 53-51,BIODIESEL EXTRA,7929,1,2018-05-11,2018,5,AVENIDA CALLE 134 No. 53-51,"AVENIDA CALLE 134 No. 53-51, Bogota d.c., Colombia","(4.72004, -74.0588)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO PETROBRAS IBERIA,PETROBRAS,AVENIDA CALLE 134 No. 53-51,GASOLINA CORRIENTE OXIGENADA,8539,1,2018-05-11,2018,5,AVENIDA CALLE 134 No. 53-51,"AVENIDA CALLE 134 No. 53-51, Bogota d.c., Colombia","(4.72004, -74.0588)"
5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIOS PREMIUM LA SEBASTIANA,TEXACO,CARRERA 27 No. 36 SUR-199,GASOLINA EXTRA OXIGENADA,11540,1,2018-05-02,2018,5,CARRERA 27 No. 36 SUR-199,"CARRERA 27 No. 36 SUR-199, Envigado, Colombia","(6.16364, -75.56929)"
5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIOS PREMIUM LA SEBASTIANA,TEXACO,CARRERA 27 No. 36 SUR-199,GASOLINA CORRIENTE OXIGENADA,9080,1,2018-05-02,2018,5,CARRERA 27 No. 36 SUR-199,"CARRERA 27 No. 36 SUR-199, Envigado, Colombia","(6.16364, -75.56929)"
5,ANTIOQUIA,5266,ENVIGADO,ESTACION DE SERVICIOS PREMIUM LA SEBASTIANA,TEXACO,CARRERA 27 No. 36 SUR-199,BIODIESEL EXTRA,8680,1,2018-05-02,2018,5,CARRERA 27 No. 36 SUR-199,"CARRERA 27 No. 36 SUR-199, Envigado, Colombia","(6.16364, -75.56929)"
5,ANTIOQUIA,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO SAN ANTONIO,TERPEL,CALLE 38 No. 62A-31,GASOLINA EXTRA OXIGENADA,11600,1,2018-05-02,2018,5,CALLE 38 No. 62A-31,"CALLE 38 No. 62A-31, Canon de rio claro, Colombia","(1.3461, -75.04915)"
5,ANTIOQUIA,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO SAN ANTONIO,TERPEL,CALLE 38 No. 62A-31,GASOLINA CORRIENTE OXIGENADA,9140,1,2018-05-02,2018,5,CALLE 38 No. 62A-31,"CALLE 38 No. 62A-31, Canon de rio claro, Colombia","(1.3461, -75.04915)"
5,ANTIOQUIA,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO SAN ANTONIO,TERPEL,CALLE 38 No. 62A-31,BIODIESEL EXTRA,8500,1,2018-05-02,2018,5,CALLE 38 No. 62A-31,"CALLE 38 No. 62A-31, Canon de rio claro, Colombia","(1.3461, -75.04915)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LOS MANGOS,MOBIL,CARRERA 64C No. 72-107,BIODIESEL EXTRA,8470,1,2018-05-02,2018,5,CARRERA 64C No. 72-107,"CARRERA 64C No. 72-107, Medellin, Colombia","(6.27146, -75.57393)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LOS MANGOS,MOBIL,CARRERA 64C No. 72-107,GASOLINA CORRIENTE OXIGENADA,9140,1,2018-05-02,2018,5,CARRERA 64C No. 72-107,"CARRERA 64C No. 72-107, Medellin, Colombia","(6.27146, -75.57393)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LOS MANGOS,MOBIL,CARRERA 64C No. 72-107,GASOLINA EXTRA OXIGENADA,11990,1,2018-05-02,2018,5,CARRERA 64C No. 72-107,"CARRERA 64C No. 72-107, Medellin, Colombia","(6.27146, -75.57393)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,BIOACEM AL 9%,8390,1,2018-05-03,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(4.59201, -74.08886)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,BIODIESEL EXTRA,8390,1,2018-05-03,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(4.59201, -74.08886)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,GASOLINA CORRIENTE OXIGENADA,9090,1,2018-05-03,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(4.59201, -74.08886)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,GASOLINA EXTRA OXIGENADA,12060,1,2018-05-03,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(4.59201, -74.08886)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,BIODIESEL EXTRA,8530,1,2018-05-02,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(4.72411, -74.07244)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,BIOACEM AL 9%,8530,1,2018-05-02,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(4.72411, -74.07244)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,GASOLINA CORRIENTE OXIGENADA,8990,1,2018-05-02,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(4.72411, -74.07244)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,GASOLINA EXTRA OXIGENADA,11600,1,2018-05-02,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(4.72411, -74.07244)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,GASOLINA EXTRA OXIGENADA,11990,1,2018-05-02,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(4.64624, -74.0783)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,BIOACEM AL 9%,8460,1,2018-05-02,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(4.64624, -74.0783)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,GASOLINA CORRIENTE OXIGENADA,9090,1,2018-05-02,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(4.64624, -74.0783)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,BIODIESEL EXTRA,8760,1,2018-05-02,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(4.64624, -74.0783)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,GASOLINA CORRIENTE OXIGENADA,8890,1,2018-05-02,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(4.59442, -74.11187)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,GASOLINA EXTRA OXIGENADA,12060,1,2018-05-02,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(4.59442, -74.11187)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,BIODIESEL EXTRA,12060,1,2018-05-02,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(4.59442, -74.11187)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,BIOACEM AL 9%,8390,1,2018-05-02,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(4.59442, -74.11187)"
